#Table: J/A+A/584/A91/tablea2.dat (http://cdsarc.cds.unistra.fr)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   |               |                       |       |       |     |    |    |  e|     |     |     |     |     |     |    |            |
   |               | R  R         D  D     |       |       |     | e_M|   T|_Td|   NH|     |    N|   nH|     |    n| alp|            |
Seq|Name           |Ah Am   RAs  Ed Em  DEs|     Rd|   Robs|Mcore|core|dust|ust|2peak|NH2av|H2avd|2peak|nH2av|H2avd|haBE|Coretype    |Com
---|---------------|-----------------------|-------|-------|-----|----|----|---|-----|-----|-----|-----|-----|-----|----|------------|--------------------------------------------
 24|182429.8-034118|18 24 29.87 -03 41 18.1|3.5e-02|4.2e-02| 0.13|0.08|10.9|1.5|  2.0|  0.9|  1.3|  1.1|  0.4|  0.8| 5.2|starless    |
 25|182435.4-031340|18 24 35.42 -03 13 40.8|3.8e-02|4.6e-02| 0.16|0.08|11.5|4.5|  1.3|  0.9|  1.4|  0.7|  0.4|  0.8| 4.5|starless    |no SED fit
 26|182456.1-023101|18 24 56.17 -02 31 01.3|4.2e-02|4.9e-02| 0.10|0.04|11.7|1.1|  1.5|  0.5|  0.7|  0.7|  0.2|  0.4| 8.2|starless    |
 27|182500.5-030133|18 25 00.55 -03 01 33.2|2.7e-02|4.1e-02| 0.84|0.30| 8.9|0.6| 10.4|  5.9| 13.6|  5.5|  3.2| 10.9| 0.6|prestellar  |
 28|182502.6-025242|18 25 02.67 -02 52 42.1|3.2e-02|4.4e-02| 0.08|0.04|16.9|2.5|  1.1|  0.5|  1.0|  0.6|  0.3|  0.7| 7.6|starless    |
 29|182509.9-035115|18 25 09.94 -03 51 15.7|2.6e-02|3.5e-02| 0.15|0.03|12.6|0.5|  2.8|  1.4|  2.6|  1.6|  0.9|  2.2| 3.5|prestellar  |             tentative bound
 30|182510.2-025845|18 25 10.21 -02 58 45.6|3.1e-02|3.9e-02| 0.57|0.28|11.5|4.5|  9.9|  4.4|  6.8|  5.4|  2.5|  4.8| 1.1|prestellar  |no SED fit
 31|182511.4-025851|18 25 11.46 -02 58 51.4|1.9e-02|3.1e-02| 0.33|0.05|11.7|0.5|  6.5|  4.0| 10.4|  3.9|  2.8| 11.7| 1.2|protostellar|
 32|182513.1-025955|18 25 13.14 -02 59 55.0|1.7e-02|2.9e-02| 0.85|0.42|11.5|4.5| 10.8| 11.8| 34.8|  6.7|  8.8| 44.7| 0.4|protostellar|no SED fit
 33|182513.7-025858|18 25 13.79 -02 58 58.2|3.2e-02|3.9e-02| 0.51|0.08|11.6|0.4| 10.1|  3.9|  5.9|  5.5|  2.2|  4.0| 1.2|prestellar  |
 34|182517.0-025540|18 25 17.01 -02 55 40.6|2.0e-02|3.1e-02| 0.10|0.05|11.5|4.5|  1.2|  1.2|  2.9|  0.7|  0.9|  3.2| 3.9|prestellar  |no SED fit   tentative bound
 35|182520.4-025200|18 25 20.48 -02 52 00.6|3.2e-02|4.0e-02| 0.09|0.05|11.5|4.5|  0.9|  0.7|  1.1|  0.5|  0.4|  0.7| 6.8|starless    |no SED fit
 36|182522.1-025538|18 25 22.11 -02 55 38.6|4.0e-02|4.9e-02| 0.18|0.09|12.5|1.5|  2.2|  0.9|  1.3|  1.1|  0.4|  0.7| 4.5|starless    |
 37|182529.8-025335|18 25 29.83 -02 53 35.6|5.3e-02|5.8e-02| 0.12|0.07|12.8|1.8|  2.0|  0.4|  0.5|  0.8|  0.2|  0.2| 8.4|starless    |
 38|182531.6-024905|18 25 31.68 -02 49 05.6|1.2e-01|1.2e-01| 1.01|0.51|11.5|4.5|  2.1|  0.8|  0.9|  0.5|  0.1|  0.2| 2.3|prestellar  |no SED fit   tentative bound
 39|182536.5-030001|18 25 36.51 -03 00 01.9|1.2e-01|1.3e-01| 1.97|0.71|11.4|0.9|  4.7|  1.5|  1.5|  1.1|  0.3|  0.3| 1.2|prestellar  |
 40|182543.9-024940|18 25 43.93 -02 49 40.2|2.3e-02|3.5e-02| 0.10|0.05|11.5|4.5|  0.9|  0.9|  2.2|  0.5|  0.6|  2.1| 4.7|starless    |no SED fit
 41|182545.9-025655|18 25 45.96 -02 56 55.8|6.2e-02|6.7e-02| 0.28|0.14|11.5|4.5|  1.8|  0.8|  0.9|  0.7|  0.2|  0.3| 4.3|starless    |no SED fit
 42|182546.7-030547|18 25 46.74 -03 05 47.0|3.7e-02|4.5e-02| 0.11|0.07|14.1|2.7|  2.0|  0.6|  0.9|  1.0|  0.3|  0.6| 6.7|starless    |
 43|182546.8-025438|18 25 46.89 -02 54 38.7|2.3e-02|3.6e-02| 0.10|0.05|11.5|4.5|  1.4|  0.9|  2.3|  0.8|  0.6|  2.3| 4.5|starless    |no SED fit
 44|182559.0-025424|18 25 59.05 -02 54 24.7|3.5e-02|4.2e-02| 0.06|0.05|13.7|3.4|  1.4|  0.4|  0.6|  0.7|  0.2|  0.4|11.6|starless    |
 45|182603.5-035148|18 26 03.52 -03 51 48.9|4.2e-02|4.9e-02| 0.08|0.02|15.8|1.1|  1.0|  0.4|  0.5|  0.5|  0.2|  0.3|10.5|starless    |
 46|182624.0-035127|18 26 24.02 -03 51 27.7|3.8e-02|4.5e-02| 0.13|0.08|13.2|2.2|  1.8|  0.7|  1.1|  0.9|  0.4|  0.6| 5.8|starless    |
 47|182629.6-030109|18 26 29.60 -03 01 09.7|4.0e-02|4.6e-02| 0.12|0.05|12.5|1.5|  2.3|  0.7|  0.9|  1.1|  0.3|  0.5| 6.5|starless    |
