seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
48,182633.0-034415,0.069,0.074,0.61,0.31,11.5,4.5,2.8e+21,1.3e+21,1.5e+21,10000,4000,5000,2.2,prestellar,1,1,0
49,182641.0-033626,0.018,0.029,0.15,0.09,10.3,1.3,3.5e+21,2.2e+21,5.6e+21,21000,16000,67000,2.3,prestellar,0,1,0
50,182642.9-032851,0.02,0.032,0.47,0.23,9.2,0.9,7.1e+21,5.5e+21,1.42e+22,43000,38000,158000,0.8,prestellar,0,0,0
51,182644.1-032606,0.028,0.041,0.21,0.11,11.5,4.5,2.4e+21,1.5e+21,3.3e+21,13000,8000,26000,2.6,prestellar,1,1,0
52,182644.1-040143,0.047,0.053,0.17,0.09,11.5,4.5,1.8e+21,7e+20,9e+20,8000,3000,4000,5.3,starless,1,0,0
53,182705.3-025212,0.039,0.045,0.33,0.05,13.5,0.6,4.7e+21,1.9e+21,2.6e+21,24000,9000,15000,2.3,prestellar,0,1,0
54,182707.0-025033,0.033,0.04,0.15,0.12,12.3,2.5,2.4e+21,1.1e+21,1.7e+21,13000,6000,11000,4.2,starless,0,0,0
55,182713.3-034014,0.015,0.027,0.03,0.01,16.9,3.7,8e+20,4e+20,1.3e+21,5000,4000,18000,11.9,protostellar,0,0,0
56,182714.2-034441,0.026,0.035,0.37,0.32,9.1,1.6,6e+21,3.5e+21,6.7e+21,34000,22000,57000,1.4,prestellar,0,0,0
57,182720.7-035109,0.027,0.041,0.18,0.12,10.6,1.6,2.5e+21,1.2e+21,2.9e+21,13000,6000,23000,3,prestellar,0,1,0
58,182721.6-033954,0.02,0.033,0.09,0.04,11.8,1.1,1.1e+21,1e+21,2.6e+21,7000,6000,28000,4.5,starless,0,0,0
59,182721.9-030252,0.034,0.041,0.14,0.11,11.8,2.4,2.2e+21,1e+21,1.5e+21,12000,5000,10000,4.8,starless,0,0,0
60,182722.1-005034,0.03,0.039,0.44,0.22,11.5,4.5,4.9e+21,3.4e+21,5.7e+21,27000,19000,41000,1.4,prestellar,1,0,0
61,182722.5-034207,0.053,0.058,1.96,0.87,8.7,0.8,1.45e+22,6.8e+21,8.2e+21,63000,26000,34000,0.5,prestellar,0,0,0
62,182724.1-005007,0.066,0.07,0.23,0.05,13.1,0.8,2.4e+21,6e+20,6e+20,9000,2000,2000,5.6,starless,0,0,0
63,182730.2-035032,0.037,0.051,1.95,0.85,10.4,1.3,1.88e+22,8.7e+21,1.69e+22,88000,37000,100000,0.4,prestellar,0,0,0
64,182731.5-030218,0.022,0.033,0.09,0.08,12,2.7,1.9e+21,9e+20,2.2e+21,11000,6000,22000,4.9,starless,0,0,0
65,182734.9-033936,0.035,0.046,0.62,0.34,10.1,1.1,9.3e+21,3.5e+21,5.9e+21,46000,16000,37000,1.1,prestellar,0,0,0
66,182737.9-035047,0.018,0.03,0.04,0.01,25.5,3.4,8e+20,5e+20,1.3e+21,5000,4000,16000,9.9,starless,0,0,0
67,182739.2-004354,0.021,0.033,0.08,0.05,11.8,1.7,1.5e+21,8e+20,2.1e+21,9000,6000,22000,5.4,starless,0,0,0
68,182740.6-034935,0.018,0.03,0.6,0.04,23.3,0.2,8.1e+21,8.1e+21,2.21e+22,49000,60000,270000,0.6,protostellar,0,0,0
69,182743.2-042841,0.017,0.028,0.06,0.03,11.5,4.5,1.1e+21,1e+21,2.6e+21,7000,8000,34000,5.3,starless,1,0,0
70,182743.2-041648,0.027,0.036,0.15,0.07,13,1.3,3.6e+21,1.4e+21,2.5e+21,20000,9000,20000,3.5,prestellar,0,1,0
71,182744.5-035413,0.042,0.048,0.13,0.07,14.5,4.5,3.4e+21,7e+20,9e+20,17000,3000,5000,6.3,starless,1,0,0
72,182745.2-041719,0.056,0.061,0.8,0.26,10.9,0.8,7.9e+21,2.5e+21,3e+21,33000,9000,12000,1.4,prestellar,0,0,0
73,182745.3-033013,0.071,0.075,0.52,0.13,12.4,0.8,3.1e+21,1.1e+21,1.2e+21,11000,3000,4000,2.7,prestellar,0,1,0
74,182747.2-033940,0.038,0.045,0.21,0.11,11.5,4.5,2.6e+21,1.3e+21,1.8e+21,13000,6000,10000,3.5,prestellar,1,1,0
75,182748.6-003311,0.048,0.053,0.41,0.1,11.3,0.6,5.1e+21,1.7e+21,2.1e+21,23000,7000,10000,2.3,prestellar,0,1,0
76,182748.7-030928,0.083,0.086,0.5,0.25,11.5,4.5,2.2e+21,8e+20,9e+20,7000,2000,2000,3.3,starless,1,0,0
77,182749.9-034912,0.016,0.028,0.16,0.04,15.5,0.8,3.7e+21,2.6e+21,7.4e+21,23000,20000,99000,2,protostellar,0,0,0
78,182751.4-035317,0.029,0.04,0.07,0.04,16.9,2.7,9e+20,5e+20,9e+20,5000,3000,7000,8.6,starless,0,0,0
79,182754.3-034237,0.02,0.031,2.06,0.26,12.3,0.5,4.24e+22,2.48e+22,6.42e+22,255000,173000,721000,0.2,protostellar,0,0,0
80,182755.3-033037,0.051,0.056,0.6,0.2,11.6,0.9,6.2e+21,2.3e+21,2.7e+21,27000,9000,12000,1.7,prestellar,0,0,0
81,182756.5-025711,0.026,0.037,0.15,0.08,11.5,4.5,1.9e+21,1.3e+21,2.7e+21,10000,8000,23000,3.3,prestellar,1,1,0
82,182756.9-034357,0.039,0.045,0.24,0.09,14.7,1.4,3.2e+21,1.4e+21,1.9e+21,16000,7000,11000,3.1,prestellar,0,1,0
83,182757.4-033548,0.023,0.034,0.09,0.05,11.5,4.5,1.1e+21,1e+21,2e+21,7000,6000,19000,5,starless,1,0,0
84,182757.5-034046,0.072,0.078,4.55,1.06,10.2,0.6,3.73e+22,8.9e+21,1.05e+22,130000,25000,32000,0.3,prestellar,0,0,0
85,182758.8-034948,0.036,0.043,2,0.3,12.9,0.3,1.51e+22,1.28e+22,1.88e+22,79000,65000,116000,0.4,prestellar,0,0,0
86,182801.9-033921,0.019,0.031,0.1,0.05,11.5,4.5,1.2e+21,1.2e+21,3.2e+21,8000,8000,37000,3.8,prestellar,1,1,0
87,182803.8-012214,0.04,0.048,1.96,0.53,8.9,0.5,2.4e+22,1.02e+22,1.47e+22,117000,47000,81000,0.4,prestellar,0,0,0
88,182805.4-034021,0.02,0.031,0.09,0.04,11.5,4.5,1.2e+21,1.1e+21,2.6e+21,7000,8000,29000,4.5,starless,1,0,0
89,182806.6-034720,0.022,0.033,0.2,0.1,11.5,4.5,1.26e+22,2.2e+21,4.9e+21,74000,14000,48000,2.2,prestellar,1,1,0
90,182806.6-034623,0.042,0.048,0.8,0.41,13.3,1.7,1.83e+22,4.1e+21,5.5e+21,89000,19000,29000,1,prestellar,0,0,0
91,182808.0-032558,0.037,0.044,0.1,0.05,11.5,4.5,1e+21,6e+20,8e+20,5000,3000,5000,7.4,starless,1,0,0
92,182809.2-034809,0.016,0.027,3.06,0.43,13.4,0.7,5.49e+22,5.08e+22,1.494e+23,349000,416000,2.099e+06,0.1,protostellar,0,0,0
93,182809.3-013354,0.04,0.046,0.41,0.17,10.9,1.2,5.7e+21,2.3e+21,3.1e+21,28000,11000,17000,1.9,prestellar,0,0,0
94,182809.9-013450,0.061,0.065,0.94,0.3,12,1.1,7e+21,2.7e+21,3e+21,28000,9000,11000,1.3,prestellar,0,0,0
95,182810.0-015110,0.09,0.093,1.27,0.51,11.9,1.3,5.3e+21,1.7e+21,1.9e+21,16000,4000,4000,1.4,prestellar,0,0,0
96,182810.1-034656,0.053,0.057,0.76,0.26,12.8,1,1.8e+22,2.8e+21,3.3e+21,79000,11000,14000,1.4,prestellar,0,0,0
97,182812.9-034434,0.019,0.03,0.08,0.04,11.5,4.5,1.1e+21,1e+21,2.5e+21,7000,7000,29000,4.9,starless,1,0,0
98,182813.0-034735,0.021,0.032,0.21,0.1,11.5,4.5,8e+21,2.4e+21,5.5e+21,47000,16000,56000,2,prestellar,1,1,0
99,182813.2-013718,0.018,0.029,0.06,0.03,11.5,4.5,9e+20,8e+20,2.1e+21,6000,6000,26000,6.2,starless,1,0,0
100,182814.4-032915,0.075,0.079,0.67,0.33,11.5,4.5,2.7e+21,1.3e+21,1.4e+21,9000,4000,4000,2.2,prestellar,1,1,0
101,182814.7-041645,0.038,0.046,0.16,0.08,11.5,4.5,1.5e+21,9e+20,1.3e+21,7000,4000,8000,4.6,starless,1,0,0
102,182816.4-013939,0.017,0.029,0.09,0.05,11.5,4.5,1.2e+21,1.3e+21,3.9e+21,8000,10000,50000,3.6,prestellar,1,1,0
103,182816.6-041504,0.048,0.054,0.16,0.08,12.5,1.5,2.4e+21,7e+20,8e+20,11000,3000,4000,5.8,starless,0,0,0
104,182816.9-013756,0.038,0.045,0.31,0.15,11.5,4.5,4e+21,1.8e+21,2.5e+21,21000,9000,14000,2.5,prestellar,1,1,0
105,182817.1-035248,0.048,0.053,0.26,0.11,10.7,1,3e+21,1.1e+21,1.3e+21,14000,4000,6000,3.7,starless,0,0,0
106,182818.3-015302,0.025,0.038,0.11,0.05,11.5,4.5,1.2e+21,9e+20,2e+21,7000,5000,17000,4.6,starless,1,0,0
107,182819.7-034522,0.018,0.029,0.08,0.04,11.5,4.5,1e+21,1.1e+21,2.9e+21,6000,8000,35000,4.4,prestellar,1,1,0
108,182820.5-013857,0.052,0.058,2.61,0.47,9.6,0.3,1.75e+22,9.2e+21,1.13e+22,76000,35000,47000,0.4,prestellar,0,0,0
109,182821.6-035218,0.018,0.03,0.06,0.03,11.5,4.5,9e+20,8e+20,2.3e+21,5000,6000,27000,5.7,starless,1,0,0
110,182822.8-041353,0.038,0.046,1.6,0.35,9,0.4,1.95e+22,9e+21,1.29e+22,97000,43000,73000,0.5,prestellar,0,0,0
111,182822.9-034502,0.019,0.03,0.19,0.14,10,1.5,4.7e+21,2.5e+21,6.3e+21,29000,18000,73000,2,prestellar,0,0,0
112,182823.2-034308,0.03,0.039,0.32,0.2,10.3,1.4,5.6e+21,2.5e+21,4.1e+21,31000,14000,29000,1.9,prestellar,0,0,0
113,182824.1-041452,0.026,0.036,0.11,0.06,11.5,4.5,7.6e+21,1e+21,1.9e+21,43000,6000,16000,4.6,starless,1,0,0
114,182825.1-024741,0.042,0.049,0.16,0.08,11.5,4.5,1.8e+21,8e+20,1.1e+21,9000,4000,6000,5,starless,1,0,0
115,182825.9-015316,0.05,0.056,0.94,0.47,11.5,4.5,9.8e+21,3.6e+21,4.5e+21,43000,14000,20000,1,prestellar,1,0,0
116,182827.5-015332,0.035,0.043,0.91,0.33,9.3,0.8,8.1e+21,5.8e+21,8.7e+21,42000,29000,54000,0.8,prestellar,0,0,0
117,182828.5-015514,0.041,0.05,0.32,0.16,11.5,4.5,6.7e+21,1.5e+21,2.3e+21,32000,7000,12000,2.5,prestellar,1,1,0
118,182829.0-034241,0.03,0.039,0.17,0.08,11.5,4.5,2.2e+21,1.3e+21,2.2e+21,12000,8000,17000,3.5,prestellar,1,1,0
