planet,name,a_m,e,i_deg,direction
Uranus,S/2025_U_1,5.784400e+07,0.039,4.0,prograde
Uranus,Caliban,7.167000e+09,0.200,141.4,retrograde
Uranus,Sycorax,1.219320e+10,0.520,157.0,retrograde
Uranus,Prospero,1.622100e+10,0.441,149.4,retrograde
Uranus,Setebos,1.751980e+10,0.579,153.9,retrograde
Uranus,Stephano,7.951400e+09,0.235,143.6,retrograde
Uranus,Trinculo,8.502600e+09,0.220,167.1,retrograde
Uranus,Francisco,4.275700e+09,0.144,146.8,retrograde
Uranus,Margaret,1.442500e+10,0.642,60.5,prograde
Uranus,Ferdinand,2.042140e+10,0.395,169.2,retrograde
Uranus,S/2023_U_1,7.976600e+09,0.250,143.9,retrograde
Neptune,Triton,3.548000e+08,0.000,157.3,retrograde
Neptune,Naiad,4.820000e+07,0.000,4.7,prograde
Neptune,Thalassa,5.010000e+07,0.000,0.2,prograde
Neptune,Despina,5.250000e+07,0.000,0.0,prograde
Neptune,Galatea,6.200000e+07,0.000,0.0,prograde
Neptune,Larissa,7.350000e+07,0.001,0.2,prograde
Neptune,Proteus,1.176000e+08,0.000,0.0,prograde
Neptune,Hippocamp,1.053000e+08,0.001,0.3,prograde
Neptune,Nereid,5.513900e+09,0.751,5.1,prograde
Neptune,Halimede,1.659050e+10,0.521,119.6,retrograde
Neptune,Psamathe,4.764660e+10,0.413,127.8,retrograde
Neptune,Sao,2.223990e+10,0.296,50.2,prograde
Neptune,Laomedeia,2.349990e+10,0.419,36.9,prograde
Neptune,Neso,4.989780e+10,0.455,128.4,retrograde
Neptune,S/2002_N_5,2.341470e+10,0.433,46.3,prograde
Neptune,S/2021_N_1,5.070020e+10,0.503,135.2,retrograde
